SCHOOL_NUMBER,ELIGIBLE_TO_GRAD_COUNT,GRAD_COUNT,GRADUATION_RATE,HONOURS_GRAD_COUNT,HONOURS_GRADUATION_RATE,Unnamed: 0,MINCODE,DISTRICT_NUMBER_x,NUM_OF_SCHOOLS_IN_DATA_LEVEL,TOTAL_CLASSES,CLASSES_WITH_ED_ASSIST,TOTAL_CLASSES_GREATER_30,AVG_CLASS_SIZE_K,AVG_CLASS_SIZE_1_3,AVG_CLASS_SIZE_4_7,AVG_CLASS_SIZE_8_12,DISTRICT_NUMBER_y,GRADE_8,GRADE_9,GRADE_10,GRADE_11,GRADE_12
3636141,177.64,170.52,95.58666666666667,109.10666666666668,57.09333333333333,350,3636141,36.0,1,235.84615384615384,35.384615384615394,17.32085356503961,18.04641057474624,20.101066897347074,24.568234505862414,24.65384615384616,36.0,13879.0,13298.0,14233.0,14251.0,12763.0
3636150,167.25352112676055,159.40845070422534,94.32394366197181,93.66197183098593,52.57746478873239,359,3636150,36.0,1,247.38461538461542,75.38461538461539,13.474699718885764,18.04641057474624,20.101066897347074,24.50144723618069,24.93846153846154,36.0,19166.0,14270.0,13690.0,12532.0,11725.0
3636156,162.44594594594594,158.09459459459458,96.75675675675676,103.43243243243244,60.17567567567568,364,3636156,36.0,1,220.15384615384616,37.230769230769226,16.846153846153847,18.04641057474624,20.101066897347074,24.568234505862414,24.584615384615393,36.0,14654.0,11980.0,12924.0,12666.0,10986.0
3636164,157.13636363636363,148.15151515151516,93.86363636363636,75.53030303030303,45.12121212121213,371,3636164,36.0,1,263.15384615384613,53.53846153846154,12.243930488116536,18.04641057474624,20.101066897347074,24.568234505862414,24.75384615384616,36.0,20410.0,17310.0,12346.0,11762.0,10309.0
3636167,155.46153846153842,149.01282051282053,94.64102564102564,84.28205128205127,50.4102564102564,373,3636167,36.0,1,253.0769230769231,49.230769230769226,10.615384615384617,18.04641057474624,20.101066897347074,24.568234505862414,24.96923076923077,36.0,18386.0,13926.0,15951.0,13080.0,11336.0
3636175,151.36486486486487,140.9324324324324,91.4054054054054,65.41891891891892,38.364864864864856,378,3636175,36.0,1,199.6923076923077,49.69230769230769,15.538461538461537,18.04641057474624,20.101066897347074,24.568234505862414,25.200000000000006,36.0,12228.0,12414.0,12757.0,12363.0,10238.0
3636232,191.08333333333331,183.38333333333333,95.81666666666666,99.06666666666666,47.65,389,3636232,36.0,1,288.07692307692315,46.30769230769231,7.615384615384616,18.04641057474624,20.101066897347074,24.568234505862414,24.876923076923074,36.0,21447.0,19210.0,14541.0,13836.0,11379.0
3636246,183.95714285714286,175.5714285714286,95.27142857142857,80.77142857142857,41.58571428571429,391,3636246,36.0,1,261.15384615384613,52.230769230769226,10.052645029389216,18.04641057474624,20.101066897347074,24.568234505862414,24.49230769230769,36.0,19172.0,14468.0,14406.0,13923.0,12878.0
3636248,139.9518072289157,130.72289156626505,92.18072289156626,67.73493975903614,41.46987951807229,392,3636248,36.0,1,225.3076923076923,51.92307692307693,17.167007411193453,18.04641057474624,20.101066897347074,26.524524159257606,24.692307692307697,36.0,14471.0,13429.0,12848.0,12391.0,11189.0
3699057,17.565217391304348,14.826086956521738,84.02173913043478,2.391304347826087,12.195652173913045,394,3699057,36.0,1,26.0,8.0,9.17109634551495,18.046410574746247,20.101066897347078,24.568234505862414,9.4,36.0,0.0,0.0,24.0,62.0,102.0
